NAME,NETWORK,Zone,longitude,latitude
Queens Park,London Overground,2,-0.203104045,51.53366092
Highbury & Islington,London Overground,2,-0.10209637,51.54564126
Chiswick Park,London Underground,3,-0.266981606,51.49415785
Wimbledon Park,London Underground,3,-0.19749098,51.43353749
Southfields,London Underground,3,-0.205058529,51.4445635
Seven Sisters,London Underground,3,-0.070894139,51.58289546
Blackhorse Road,London Underground,3,-0.040174342,51.58633801
Tottenham Hale,London Underground,3,-0.058547162,51.58754655
Brent Cross,London Underground,3,-0.212185251,51.57616797
Golders Green,London Underground,3,-0.192420671,51.57178437
South Ealing,London Underground,3,-0.305919519,51.50039136
North Ealing,London Underground,3,-0.287236576,51.51697561
Park Royal,London Underground,3,-0.282378071,51.52597425
Hanger Lane,London Underground,3,-0.291095909,51.52968038
North Acton,London Underground,3,-0.258167978,51.52310534
Leyton,London Underground,3,-0.00386474,51.55609689
Bromley-by-Bow,London Underground,3,-0.009841042,51.52424987
Plaistow,London Underground,3,0.018612643,51.53072137
Upton Park,London Underground,3,0.036836325,51.53487026
Turnpike Lane,London Underground,3,-0.101359413,51.58975112
Wood Green,London Underground,3,-0.108246806,51.5969712
Bounds Green,London Underground,3,-0.122731021,51.60656487
West Ham,London Underground,3,0.00590508,51.52776913
Walthamstow Central,London Underground,3,-0.019895332,51.58261626
Ealing Broadway,London Underground,3,-0.299418497,51.51449777
Acton Town,London Underground,3,-0.278432824,51.50213702
Ealing Common,London Underground,3,-0.286555479,51.50903565
South Wimbledon,London Underground,3,-0.191711278,51.41446924
Northfields,London Underground,3,-0.311409865,51.49914634
Harlesden,London Underground,3,-0.256997378,51.53619355
Kew Gardens,London Underground,3,-0.283453589,51.47648632
Gunnersbury,London Underground,3,-0.273547129,51.49123204
North Greenwich,London Underground,3,0.005908784,51.50002099
Canning Town,London Underground,3,0.009568884,51.51360991
Willesden Green,London Underground,3,-0.221119357,51.54886838
Colliers Wood,London Underground,3,-0.176460893,51.41763979
Tooting Broadway,London Underground,3,-0.166791248,51.42715702
Tooting Bec,London Underground,3,-0.15763366,51.4353811
Balham,London Underground,3,-0.151090206,51.44310998
Hendon Central,London Underground,3,-0.224748399,51.58267136
Wimbledon,London Underground,3,-0.204921053,51.42091587
Honor Oak Park,London Overground,3,-0.044096334,51.44940041
Forest Hill,London Overground,3,-0.051690278,51.43872534
Sydenham,London Overground,3,-0.052652564,51.42659082
Turnham Green,London Underground,3,-0.252958803,51.494448
Neasden,London Underground,3,-0.24957656,51.5539234
Dollis Hill,London Underground,3,-0.237445148,51.55145847
Stonebridge Park,London Underground,3,-0.27487576,51.54368887
Willesden Junction,London Underground,3,-0.242978972,51.5318981
East Finchley,London Underground,3,-0.163438627,51.58665344
Highgate,London Underground,3,-0.144860652,51.577342
West Acton,London Underground,3,-0.279364414,51.51747345
Stratford,London Underground,3,-0.002182514,51.54094802
Bruce Grove,London Overground,3,-0.068182034,51.59336509
Seven Sisters,London Overground,3,-0.073533739,51.58359611
Walthamstow St James Street,London Overground,3,-0.031370968,51.58045909
White Hart Lane,London Overground,3,-0.069256013,51.60447174
Stamford Hill,London Overground,3,-0.074878256,51.57418005
Acton Central,London Overground,3,-0.261566477,51.50821824
Blackhorse Road,London Overground,3,-0.039657577,51.58647957
Crouch Hill,London Overground,3,-0.115463356,51.57086778
Harlesden,London Overground,3,-0.255902699,51.53575292
